Date,Open,High,Low,Close,Adj. Close,Volume
"Feb 11, 2021",79.65,81.2,76.85,77.2,74.94,65851076
"Feb 12, 2021",77.45,79.5,77,78.35,76.06,48490727
"Feb 15, 2021",79.1,80.7,78.6,79.55,77.22,39681236
"Feb 16, 2021",80.4,81.75,78.6,79.7,77.37,44803164
"Feb 17, 2021",79.6,85.5,79.15,84.2,81.74,109833018
"Feb 18, 2021",85.5,96.7,84.4,95.65,92.85,256891275
"Feb 19, 2021",95.95,99.85,88.65,91.2,88.53,184205581
"Feb 22, 2021",91.4,93.75,88.8,89.55,86.93,75628484
"Feb 23, 2021",90.3,91.6,86.05,86.85,84.31,68592567
"Feb 24, 2021",87.4,90.3,86.4,88.35,85.77,40874043
"Feb 25, 2021",89.9,90.65,89,89.95,87.32,52500068
"Feb 26, 2021",86.9,87.2,85,85.4,82.9,87811972
"Mar 01, 2021",85.4,86.35,82.9,83.35,80.91,51758155
"Mar 02, 2021",84,85.25,83.05,83.3,80.87,39147694
"Mar 03, 2021",84.1,86.9,84.1,85.6,83.1,55604904
"Mar 04, 2021",85,87.8,84.15,85.8,83.29,62171034
"Mar 05, 2021",85.2,85.8,79.5,80.65,78.29,100394468
"Mar 08, 2021",82,83.5,80.7,81.2,78.83,49714873
"Mar 09, 2021",82,82.65,78.65,80.3,77.95,35236058
"Mar 10, 2021",81.35,81.9,79.65,80,77.66,36342485
"Mar 12, 2021",80.75,80.9,76.6,77.35,75.09,54547934
"Mar 15, 2021",77.95,79.7,76,78.85,76.55,74971277
"Mar 16, 2021",79.5,79.95,76.4,78.85,76.55,65198270
"Mar 17, 2021",78.7,79,74.25,74.85,72.66,47739117
"Mar 18, 2021",75.9,76.95,70.9,71.95,69.85,61825454
"Mar 19, 2021",70.85,74.35,69.55,73.7,71.55,63657565
"Mar 22, 2021",73.8,74.65,71.75,72.45,70.33,43215479
"Mar 23, 2021",72.9,75.85,72.8,74.25,72.08,66644024
"Mar 24, 2021",74.35,75.15,71.35,71.8,69.7,53558041
