Date,Open,High,Low,Close,Adj. Close,Volume
"Jan 21, 2022",95.6,95.7,91.55,92.7,89.99,39203300
"Jan 24, 2022",92.3,93.6,90.7,92.6,89.89,56181631
"Jan 25, 2022",92,99.7,91.55,98.5,95.62,65620823
"Jan 27, 2022",97,104,96.1,103.5,100.47,94518500
"Jan 28, 2022",104.45,106.5,102.75,103.3,100.28,56977661
"Jan 31, 2022",103.95,108.4,103.05,107.55,104.41,61044762
"Feb 01, 2022",108.6,109.3,102.4,106.15,103.05,86624214
"Feb 02, 2022",106.85,110.2,106.2,109.4,106.2,47769665
"Feb 03, 2022",109.1,111.9,108.5,109.55,106.35,54520992
"Feb 04, 2022",109.8,111.35,106.15,106.55,103.44,45581685
"Feb 07, 2022",108.8,117.2,108.25,112.95,109.65,177298544
"Feb 08, 2022",114,118.3,111.5,117.95,114.5,115380004
"Feb 09, 2022",118.5,118.8,114.5,114.85,111.49,61784484
"Feb 10, 2022",115.4,116.4,113.6,114.7,111.35,40178477
"Feb 11, 2022",113.7,115.45,112.5,113.55,110.23,33757340
"Feb 14, 2022",109,110.4,105.25,106.1,103,50506830
"Feb 15, 2022",106.6,110.5,104.05,110.15,106.93,61851795
"Feb 16, 2022",111.05,111.25,106.65,107,103.87,45599684
"Feb 17, 2022",108.1,108.3,105.4,105.7,102.61,29911159
"Feb 18, 2022",105.3,107.7,105,105.35,102.27,31422298
"Feb 21, 2022",105.35,106.1,102.8,103.75,100.72,40170256
"Feb 22, 2022",101.2,105.8,99.05,104.85,101.79,51955994
